eng,pa
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","ਕਿਸੇ ਵੀ ਸਥਿਤੀ ਵਿੱਚ, ਕੋਈ ਸੰਸਥਾ ਸਰਕਾਰ ਦੇ ਪੋਸਣ ਅਭਿਆਨ ਦੇ ਹਿੱਸੇ ਵਜੋਂ ਇਕੱਤਰ ਕੀਤੇ ਅੰਕੜਿਆਂ ਦੀ ਵਰਤੋਂ ਇੱਥੇ ਦਰਸਾਏ ਉਦੇਸਾਂ ਤੋਂ ਇਲਾਵਾ ਕਿਸੇ ਹੋਰ ਉਦੇਸ ਲਈ ਨਹੀਂ ਕਰੇਗੀ, ਅਤੇ ਜਾਂ ਸਰਕਾਰ ਦੁਆਰਾ ਆਗਿਆ ਅਨੁਸਾਰ ਹੋ ਸਕਦੀ ਹੈ।"
Helping make India malnutrition free,ਭਾਰਤ ਨੂੰ ਕੁਪੋਸਣ ਮੁਕਤ ਬਣਾਉਣ ਵਿੱਚ ਸਹਾਇਤਾ ਕਰਨਾ
General Awareness on Module,ਮੋਡੀਊਲ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
What is the purpose of Launching Poshan Tracker?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਨੂੰ ਸੁਰੂ ਕਰਨ ਦਾ ਉਦੇਸ ਕੀ ਹੈ?
"As a registered user, you have the right to access your profile at any time.","ਇੱਕ ਰਜਿਸਟਰਡ ਉਪਭੋਗਤਾ ਵਜੋਂ, ਤੁਹਾਡੇ ਕੋਲ ਕਿਸੇ ਵੀ ਸਮੇਂ ਆਪਣੀ ਪ੍ਰੋਫਾਈਲ ਖੋਲ੍ਹਣ ਦਾ ਅਧਿਕਾਰ ਹੈ।"
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","ਹਾਲਾਂਕਿ, ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਪੋਸਣ ਟਰੈਕਰ ਸਿਸਟਮ ਦੁਆਰਾ ਨਿਰਧਾਰਿਤ ਤੌਰ 'ਤੇ ਤਬਦੀਲੀਆਂ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ।"
You cannot manage the communications that you receive from us or how you receive them.,ਤੁਸੀਂ ਉਹਨਾਂ ਸੰਚਾਰਾਂ ਦਾ ਪ੍ਰਬੰਧਨ ਨਹੀਂ ਕਰ ਸਕਦੇ ਜੋ ਤੁਸੀਂ ਸਾਡੇ ਤੋਂ ਪ੍ਰਾਪਤ ਕਰਨੇ ਹਨ ਜਾਂ ਕਿਵੇਂ ਪ੍ਰਾਪਤ ਕਰਨੇ ਹਨ।
View All FAQs,ਸਾਰੇ ਅਕਸਰ ਪੁੱਛੇ ਜਾਂਦੇ ਪ੍ਰਸਨ ਦੇਖੋ
Please Select Sector,ਕਿਰਪਾ ਕਰਕੇ ਸੈਕਟਰ ਚੁਣੋ
Bankura - II,ਬਾਂਕੁਰਾ - II
Raipur-  Karchulian,ਰਾਏਪੁਰ- ਕਰਚੂਲੀਆ
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. ਕਨੂੰਨ, ਤੀਜੀ ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ, ਅਤੇ ਸੇਵਾ ਦੀਆਂ ਹੋਰ ਸਰਤਾਂ ਦੀ ਪਾਲਣਾ"
"repeated infection, and inadequate psychosocial stimulation","ਵਾਰ-ਵਾਰ ਲਾਗ, ਅਤੇ ਨਾਕਾਫੀ ਮਨੋ-ਸਮਾਜਿਕ ਉਤੇਜਨਾ"
Oops!,ਓਹ ਹੋ!
Page Not Found,ਪੰਨਾ ਮਿਲਿਆ ਨਹੀਂ
Beneficiary migration from one AWC to another AWC,ਇੱਕ AWC ਤੋਂ ਦੂਸਰੇ AWC ਤੱਕ ਲਾਭਪਾਤਰੀ ਮਾਈਗ੍ਰੇਸਨ
Gyalshing Rural Project,ਗਾਇਲਸਿੰਗ ਪੇਂਡੂ ਪ੍ਰੋਜੈਕਟ
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Lohian khas,ਲੋਹੀਆਂ ਖਾਸ
Durg ( R ),ਦੁਰਗ (ਆਰ)
Bagnan - II,ਬਾਗਨਾਨ - II
Lawngtlai ICDS Project,ਲਾਂਗਟਲਾਈ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Date of Birth,ਜਨਮ ਤਾਰੀਖ
Nihal Singh Wala,ਨਿਹਾਲ ਸਿੰਘ ਵਾਲਾ
CDPO  Yavatmal-(U),ਸੀਡੀਪੀਓ ਯਵਤਮਾਲ-(ਯੂ)
DUM DUM SOUTH,ਦਮ ਦਮ ਦੱਖਣ
4:15 PM to 5:15 PM,ਸਾਮ 4: 15 ਤੋਂ ਸਾਮ 5: 15 ਤੱਕ
Sagar - U,ਸਾਗਰ - ਯੂ
About Poshan Tracker,ਪੋਸਨ ਟ੍ਰੈਕਰ ਬਾਰੇ
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","ਪੋਸਣ ਅਭਿਆਨ (02 ਫਰਵਰੀ, 2021) ਅਧੀਨ ਆਈਸੀਟੀ ਪਲੇਟਫਾਰਮ ਤੇ ਸਿਖਲਾਈ"
Panskura- II ADDL ICDS,ਪੰਸਕੁਰਾ- II ਏਡੀਡੀਐਲ ਆਈਸੀਡੀਐਸ
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in 'ਤੇ ਈਮੇਲ ਭੇਜ ਕੇ ਪੋਸਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।ਹੈਂਡਹੋਲਡਿੰਗ ਅਤੇ ਸਹਾਇਤਾ ਲਈ ਅਸੀਂ ਹਰ ਰੋਜ ਸਾਮ 4:15 ਵਜੇ ਤੋਂ ਸਾਮ 5:15 ਵਜੇ ਤੱਕ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਵੀ ਉਪਲਬਧ ਹਾਂ।
Diyung Valley Icds Project,ਦਿਯੁੰਗ ਵੈਲੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
South West Delhi,ਦੱਖਣ-ਪੱਛਮੀ ਦਿੱਲੀ
You may browse the Site without registering for an account.,ਤੁਸੀਂ ਕਿਸੇ ਖਾਤੇ ਲਈ ਰਜਿਸਟਰ ਕੀਤੇ ਬਿਨਾਂ ਸਾਈਟ ਨੂੰ ਬ੍ਰਾਊਜ ਕਰ ਸਕਦੇ ਹੋ।
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","ਜੇਕਰ ਤੁਸੀਂ ਸਾਈਟ ਦੁਆਰਾ ਪੇਸ ਕੀਤੀਆਂ ਗਈਆਂ ਕੁਝ ਵਿਸੇਸਤਾਵਾਂ ਜਾਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਦਾ ਇਰਾਦਾ ਰੱਖਦੇ ਹੋ, ਤਾਂ ਤੁਹਾਨੂੰ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਦੇ ਨਾਲ ਇੱਕ ਖਾਤੇ ਲਈ ਰਜਿਸਟਰ ਕਰਨ ਦੀ ਲੋੜ ਹੋਵੇਗੀ।"
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","ਇਹਨਾਂ ਸਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰਕੇ, ਤੁਸੀਂ ਸਪੱਸਟ ਤੌਰ 'ਤੇ ਸਾਨੂੰ ਤੁਹਾਡੀ ਅਤੇ ਤੁਹਾਡੇ ਖਾਤੇ ਵਿੱਚ ਰਜਿਸਟਰ ਕੀਤੇ ਗਏ ਹੋਰ ਸਾਰੇ ਮੈਂਬਰਾਂ ਦੀ ਪਛਾਣ ਜਾਣਕਾਰੀ (ਆਧਾਰ ਵੇਰਵਿਆਂ ਸਮੇਤ) ਦੀ ਵਰਤੋਂ ਕਰਨ ਦੇ ਅਧਿਕਾਰ ਲਈ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ।"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,ਤੁਸੀਂ ਆਪਣੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਅਤੇ ਰਜਿਸਟ੍ਰੇਸਨ ਅਤੇ ਇਸ ਜਾਣਕਾਰੀ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਣ ਵਿੱਚ ਅਸਫਲ ਰਹਿਣ ਦੇ ਨਤੀਜੇ ਵਜੋਂ ਹੋਣ ਵਾਲੀਆਂ ਸਾਰੀਆਂ ਗਤੀਵਿਧੀਆਂ ਦੀ ਗੁਪਤਤਾ ਨੂੰ ਬਣਾਈ ਰੱਖਣ ਲਈ ਪੂਰੀ ਤਰ੍ਹਾਂ ਜਿੰਮੇਵਾਰ ਹੋ।
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,ਤੁਹਾਡੀ ਰਜਿਸਟ੍ਰੇਸਨ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਨੂੰ ਗੁਪਤ ਰੱਖਿਆ ਜਾਵੇਗਾਤੁਸੀਂ ਇਹ ਮੰਨਦੇ ਹੋਃਤੁਸੀਂ ਆਪਣੇ ਖਾਤੇ ਰਾਹੀਂ ਆਪਣੇ ਰਿਕਾਰਡ ਬਣਾਉਣ ਲਈ ਸਬੰਧਤ ਵਿਅਕਤੀਆਂ ਤੋਂ ਸਹਿਮਤੀ ਪ੍ਰਾਪਤ ਕੀਤੀ ਹੈ।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,ਤੁਹਾਡੇ ਖਾਤੇ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਵਿੱਚ ਉਸ ਵਿਅਕਤੀ ਦੀ ਨਕਲ ਕਰਨ ਦੇ ਇਰਾਦੇ ਵਾਲੇ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਦਾ ਨਾਮ ਸਾਮਲ ਨਹੀਂ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।
You shall not use another user's account without their permission.,ਤੁਸੀਂ ਕਿਸੇ ਹੋਰ ਉਪਭੋਗਤਾ ਦੇ ਖਾਤੇ ਦੀ ਵਰਤੋਂ ਉਹਨਾਂ ਦੀ ਇਜਾਜਤ ਤੋਂ ਬਿਨਾਂ ਨਹੀਂ ਕਰੋਗੇ।
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",ਜੇਕਰ ਤੁਹਾਨੂੰ ਆਪਣੇ ਖਾਤੇ ਦੀ ਕੋਈ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਜਾਂ ਖਾਤਾ-ਸਬੰਧਤ ਸੁਰੱਖਿਆ ਉਲੰਘਣਾ ਦਾ ਪਤਾ ਲੱਗਦਾ ਹੈ ਤਾਂ ਤੁਸੀਂ ਸਾਨੂੰ ਤੁਰੰਤ ਲਿਖਤੀ ਰੂਪ ਵਿੱਚ ਸੂਚਿਤ ਕਰੋਗੇ।
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","ਜੇਕਰ ਸਾਨੂੰ ਕੋਈ ਸਿਕਾਇਤ ਮਿਲਦੀ ਹੈ ਕਿ ਤੁਹਾਡਾ ਖਾਤਾ ਕਿਸੇ ਹੋਰ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਉਲੰਘਣਾ ਕਰਦਾ ਹੈ, ਜਾਂ ਸਾਡੀਆਂ ਨੀਤੀਆਂ ਦੀ ਉਲੰਘਣਾ ਕਰਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਤੁਹਾਡੇ ਖਾਤੇ ਨੂੰ ਰੱਦ ਜਾਂ ਬੰਦ ਕਰ ਸਕਦੇ ਹਾਂ।"
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","ਤੁਸੀਂ ਸਾਈਟ 'ਤੇ ਭਾਗੀਦਾਰਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਲਈ ਮਲਟੀਪਲ ਇੰਟਰਨੈਟ ਪ੍ਰੋਟੋਕੋਲ ਪਤੇ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ, ਜਾਂ ਕਿਸੇ ਹੋਰ ਤਰੀਕੇ ਨਾਲ ਆਪਣੀ ਪਛਾਣ ਛੁਪਾਉਣ ਦੀ ਕੋਸਿਸ ਨਹੀਂ ਕਰੋਗੇ।"
What is  MPIN?,ਐਮਪੀਆਈਐੱਨ ਕੀ ਹੈ?
Rongmongwe & Samelangso Icds Project,ਰੋਂਗਮੋਂਗਵੇ ਅਤੇ ਸੈਮਲਾਂਗਸੋ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Pakabetbari Icds Project,ਪਕਾਬੇਤਬਰੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Please Select Reported By,ਕਿਰਪਾ ਕਰਕੇ ਰਿਪੋਰਟ ਕਰਨ ਵਾਲਾ ਚੁਣੋ
Kaliachak - III,ਕਾਲਿਚਕ - III
Dakshin Bastar Dantewada,ਦਕਸਿਨ ਬਸਤਰ ਦਾਂਤੇਵਾੜਾ
Cdpo Proj No-1,ਸੀਡੀਪੀਓ ਪ੍ਰੋਜੈਕਟ ਨੰਬਰ-1
Berhampur (U) - II,ਬਰਹਮਪੁਰ   (ਯੂ) - I
Enter Mobile Number,ਮੋਬਾਈਲ ਨੰਬਰ ਭਰੋ
"Project-3, Palanganatham, Madurai","ਪ੍ਰੋਜੈਕਟ-3, ਪਲੰਗਨਾਥਮ, ਮਦੁਰਾਈ"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ 22 ਵੱਖੋ ਵੱਖਰੀਆਂ ਭਾਸਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ।ਉਪਲਬਧ ਵੱਖ ਵੱਖ ਭਾਸਾਵਾਂ ਹਨਃਅੰਗਰੇਜੀਹਿੰਦੀਗੁਜਰਾਤੀਪੰਜਾਬੀਮਰਾਠੀਬੰਗਲਾਕੰਨੜਤਾਮਿਲਤੇਲਗੂਮਲਿਆਲਮਓਡੀਆਅਸਾਮੀNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,ਏਡਬਲਯੂਸੀ ਟੀਕਾਕਰਣ ਦੇ ਰੁਝਾਨ
Jhalda - I,ਝੱਲਦਾ - I
Reiek ICDS Project,ਰੀਕ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","ਪੋਸਨ ਟਰੈਕਰ ਐਪਲੀਕੇਸਨ ਦਾ ਉਦੇਸ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (ਡਬਲਯੂਡਬਲਯੂ) ਦੀ ਸੇਵਾ ਸਪੁਰਦਗੀ ਅਤੇ ਗਰਭਵਤੀ ਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦੇ ਕੰਮਾਂ ਦਾ ਇੱਕ 360 ਡਿਗਰੀ ਦ੍ਰਿਸ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ AWCs, AWWs ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ."
Current Month Performance,ਮੌਜੂਦਾ ਮਹੀਨੇ ਦੀ ਕਾਰਗੁਜਾਰੀ
Rjn Gramin 02,ਆਰਜੇਐਨ ਪੇਂਡੂ 02
How to Login in Poshan Tracker App?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਲੋਗਿਨ ਕਿਵੇਂ ਕਰੀਏ?
Height and weight of child has not been measured,ਬੱਚੇ ਦੀ ਲੰਬਾਈ ਅਤੇ ਭਾਰ ਨਹੀਂ ਮਾਪਿਆ ਗਿਆ ਹੈ
PM’s Program Districts,ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦੇ ਪ੍ਰੋਗਰਾਮ ਵਾਲੇ ਜਿਲ੍ਹੇ
Kaliachak - I,ਕਾਲੀਆਚਕ - I
Jagatballav pur ICDS,ਜਗਤਬੱਲਵ ਪੁਰ ਆਈਸੀਡੀਐਸ
CDPO Civil Washim,ਸੀਡੀਪੀਓ ਸਿਵਲ ਵਾਸਿਮ
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸਰਤਾਂ
2.5. Research and operational activities.,2.5. ਖੋਜ ਅਤੇ ਸੰਚਾਲਨ ਗਤੀਵਿਧੀਆਂ।
Tufanganj I Addl,ਤੁਫਾਨਗੰਜ I ਏਡੀਡੀਐਲ
CANNING II ADDITIONAL,ਕੈਨਿੰਗ II ਵਾਧੂ
Jhalda - II,ਝੱਲਾ - II
Gomariguri Icds Project,ਗੋਮਾਰੀਗੁੜੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Best performing states (National Best),ਸਰਵੋਤਮ ਪ੍ਰਦਰਸਨ ਕਰਨ ਵਾਲੇ ਰਾਜ (ਰਾਸਟਰੀ ਸਰਵੋਤਮ)
Siddharth Nagar City,ਸਿਧਾਰਥ ਨਗਰ ਸਿਟੀ
Calculator to measure the child growth based on the WHO Child Growth Standards.,ਬਚੇ ਦੇ ਵਾਧੇ ਲਈ ਡਬਲਯੂਐਚਓ ਮਾਪਦੰਡ ਦੇ ਆਧਾਰ 'ਤੇ ਬੱਚੇ ਦੇ ਵਾਧੇ ਨੂੰ ਮਾਪਣ ਲਈ ਕੈਲਕੁਲੇਟਰ
Sonarpur ICDS Project,ਸੋਨਾਰਪੁਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
"Td1, 2 or Td Booster***","ਟੀਡੀ1, 2 ਜਾਂ ਟੀਡੀ ਬੂਸਟਰ*"
North East Delhi,ਉੱਤਰ-ਪੂਰਬੀ ਦਿੱਲੀ
Sri Muktsar Sahib,ਸ੍ਰੀ ਮੁਕਤਸਰ ਸਾਹਿਬ
North West Jorhat,ਉੱਤਰ ਪੱਛਮੀ ਜੋਰਹਾਟ
Raninagar - II,ਰਾਣੀਨਗਰ - II
TAKE HOME RATION (THR) GIVEN TODAY,ਅੱਜ ਦਿੱਤੇ ਗਏ ਘਰਾਂ ਦੇ ਰਾਸਨ (ਟੀਐਚਆਰ) ਨੂੰ ਲਓ
Beneficiaries Registered Today,ਲਾਭਪਾਤਰੀਆਂ ਨੇ ਅੱਜ ਰਜਿਸਟਰ ਕੀਤਾ
A beneficiary is eligible for THR for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ THR ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।
Bhatpara II (U),ਭਟਪਾਰਾ II (ਯੂ)
Cooch Behar II Addl,ਕੂਚ ਬਿਹਾਰ II ਏਡੀਡੀਐਲ
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. ਸਰਤਾਂ ਵਿੱਚ ਭਵਿੱਖ'ਚ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਨੋਟਿਸਃ
Planning And Organising Community Based Events At AWC,ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਵਿਖੇ ਕਮਿਊਨਿਟੀ ਆਧਾਰਿਤ ਸਮਾਗਮਾਂ ਦੀ ਯੋਜਨਾਬੰਦੀ ਅਤੇ ਆਯੋਜਨ ਕਰਨਾ
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. ਬੌਧਿਕ ਸੰਪਤੀ ਦੇ ਹੱਕ
GOSABA ICDS MAIN,ਗੋਸਾਬਾ ਆਈਸੀਡੀਐਸ ਮੇਨ
Growth monitoring charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਚਾਰਟ
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,ਦਾਨਖੋਰਾ - ਹਸਨਗੰਜ
Frequently Asked Questions,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸਨ
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ਜੇ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੁਆਰਾ ਰਜਿਸਟਰ ਨਹੀਂ ਕਰ ਪਾਉਂਦੇ ਤਾਂ ਏਡਬਲਯੂਡਬਲਯੂ ਐਪ ਤੇ ਕਿਵੇਂ ਸਾਈਨ ਅਪ ਕਰ ਸਕਦਾ ਹੈ?
Salboni ICDS Project,ਸਾਲਬੋਨੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Raninagar - I,ਰਾਣੀਨਗਰ - I
Sandeshkali - I Adl.,ਸੰਦੇਸਕਾਲੀ- I ਏਡੀਐਲ.
Poshan Tracker adds new Reports feature,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਰਿਪੋਰਟ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ
Magrahat - II ICDS,ਮਗਰਾਹਟ - II ਆਈਸੀਡੀਐਸ
Lungsen Icds Project,ਲੰਗਸੇਨ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
General Awareness about preventing illness in Children,ਬੱਚਿਆਂ ਵਿੱਚ ਬਿਮਾਰੀ ਦੀ ਰੋਕਥਾਮ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Demow Icds Project,ਡੈਮੋ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Ratua - I,ਰਤੁਆ - I
Purulia - II,ਪੁਰੂਲੀਆ - II
Dhar - R,ਧਰ - ਆਰ
Beneficiaries status change notifications,ਲਾਭਪਾਤਰੀਆਂ ਦਾ ਸਟੇਟਸ ਨੋਟੀਫਿਕੇਸਨਾਂ ਬਦਲਦਾ ਹੈ
K R Nagar,ਕੇ ਆਰ ਨਗਰ
2. HOW WE USE PERSONAL INFORMATION,2. ਅਸੀਂ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰਦੇ ਹਾਂ
Purnia East Rural,ਪੂਰਨੀਆ ਪੂਰਬੀ ਦਿਹਾਤੀ
Ranaghat 2 Ex,ਰਾਨਾਘਾਟ 2 ਸਾਬਕਾ
Careers At Poshan Tracker,ਪੋਸਨ ਟ੍ਰੈਕਰ ਵਿਖੇ ਰੁਜਗਾਰ
Nichar At Bhabnagar,ਭਾਬਨਗਰ ਵਿਖੇ ਨਿਚਾਰ
Underweight Assessment Parameters,ਘੱਟ ਭਾਰ ਮੁਲਾਂਕਣ ਮਾਪਦੰਡ
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਤੇ ਟਿਕਟ ਨੰਬਰ ਪ੍ਰਦਾਨ ਕਰੋ।
Kulti (U) ICDS Project,ਕੁਲਟੀ (ਯੂ) ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Ludhiana 1 Rural,ਲੁਧਿਆਣਾ 1 ਦਿਹਾਤੀ
Dinhata - II addl,ਦਿਨਹਾਟਾ - II ਏਡੀਡੀਐਲ
Please contact your respective Anganwadi worker.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
SAM Children under 5 years who received Supplementary Nutrition,ਐਸਏਐਮ 5 ਸਾਲ ਤੋਂ ਘੱਟ ਉਮਰ ਦੇ ਬੱਚੇ ਜਿਨ੍ਹਾਂ ਨੂੰ ਪੂਰਕ ਆਹਾਰ ਪ੍ਰਾਪਤ ਹੋਇਆ ਹੈ
Feeding During Illness,ਬਿਮਾਰੀ ਦੇ ਦੌਰਾਨ ਖੁਆਉਣਾ
Ratlam Rural - 2,ਰਤਲਾਮ ਦਿਹਾਤੀ - 2
Suti - I,ਸੂਤਿ - I
Memari - II,ਮੇਮਰੀ - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ਓਪੀਵੀ-1ਪੇਂਟਾਵਲੇੰਟ-1ਰੋਟਾਵਾਇਰਸ ਵੈਕਸੀਨ (ਆਰਵੀਵੀ)-1ਇਨਐਕਟੀਵੇਟਿਡ ਪੋਲੀਓ ਵੈਕਸੀਨ ਦੀ ਅੰਸਿਕ ਖੁਰਾਕ (fIPV) -1ਨਿਊਮੋਕੋਕਲ ਕੰਨਜੁਗੇਟ ਵੈਕਸੀਨ (ਪੀਸੀਵੀ) -1
Height should be between 38 to 150,ਕੱਦ 38 ਤੋਂ 150 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ
How to contact Poshan Tracker Team?,ਪੋਸਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕਿਵੇਂ ਕਰੀਏ?
