eng,or
"You may browse the Site without registering for an account.You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.Your account or mobile number shall not include the name of another person with the intent to impersonate that person.You shall not use another user's account without their permission.You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","ଆପଣ ଏକ ଆକାଉଣ୍ଟ୍ ପାଇଁ ପଞ୍ଜୀକରଣ ନକରି ସାଇଟ୍ ବ୍ରାଉଜ୍ କରିପାରିବେ | ଯଦି ଆପଣ ସାଇଟ୍ ଦ୍ବାରା ପ୍ରଦାନ କରାଯାଇଥିବା କିଛି ବୈଶିଷ୍ଟ୍ୟ କିମ୍ବା ସେବା ବ୍ୟବହାର କରିବାକୁ ଇଚ୍ଛା କରନ୍ତି, ତେବେ ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବର ସହିତ ଏକ ଆକାଉଣ୍ଟ୍ ପାଇଁ ଆପଣଙ୍କୁ ପଞ୍ଜିକରଣ କରିବାକୁ ପଡିବ |ଏହି ସର୍ତ୍ତାବଳୀକୁ ଗ୍ରହଣ କରି, ତୁମେ ତୁମର ପରିଚୟ ସୂଚନା (ଆଧାର ବିବରଣୀ ଅନ୍ତର୍ଭୂକ୍ତ କରି) ଏବଂ ତୁମର ଆକାଉଣ୍ଟରେ ପଞ୍ଜୀକୃତ ହୋଇଥିବା ଅନ୍ୟ ସମସ୍ତ ସଦସ୍ୟଙ୍କ ବ୍ୟବହାର କରିବାକୁ ଆମକୁ ଅନୁମତି ଦେବାକୁ ସ୍ପଷ୍ଟ ଭାବରେ ରାଜି ହୁଅ |ତୁମର ବ୍ୟକ୍ତିଗତ ସୂଚନା ଏବଂ ପଞ୍ଜୀକରଣର ଗୋପନୀୟତା ବଜାୟ ରଖିବା ପାଇଁ ତୁମେ କେବଳ ଦାୟୀ ଏବଂ ଏହି କାର୍ଯ୍ୟକଳାପକୁ ସୁରକ୍ଷିତ ରଖିବାରେ ବିଫଳ ହେବାରୁ ସମସ୍ତ କାର୍ଯ୍ୟକଳାପ | ତୁମର ପଞ୍ଜୀକରଣ କିମ୍ବା ମୋବାଇଲ୍ ନମ୍ବର ଗୋପନୀୟ ରଖାଯିବ |ଆପଣ ତାହା ଗ୍ରହଣ କରନ୍ତୁଃତୁମର ଖାତା ମାଧ୍ୟମରେ ସେମାନଙ୍କର ରେକର୍ଡ ସୃଷ୍ଟି ପାଇଁ ତୁମେ ସଂପୃକ୍ତ ବ୍ୟକ୍ତିବିଶେଷଙ୍କଠାରୁ ସମ୍ମତି ହାସଲ କରିଛ |ତୁମର ଆକାଉଣ୍ଟ୍ କିମ୍ବା ମୋବାଇଲ୍ ନମ୍ବର ସେହି ବ୍ୟକ୍ତିଙ୍କ ଛଦ୍ମନାମ କରିବାର ଉଦ୍ଦେଶ୍ୟ ସହିତ ଅନ୍ୟ ଜଣଙ୍କର ନାମ ଅନ୍ତର୍ଭୂକ୍ତ କରିବ ନାହିଁ |ସେମାନଙ୍କ ଅନୁମତି ବିନା ଆପଣ ଅନ୍ୟ ଉପଭୋକ୍ତାଙ୍କର ଖାତା ବ୍ୟବହାର କରିବେ ନାହିଁ |ଯଦି ତୁମେ ତୁମର ଖାତାର କ un ଣସି ଅନଧିକୃତ ବ୍ୟବହାର କିମ୍ବା ଅନ୍ୟ ଖାତା ସମ୍ବନ୍ଧୀୟ ସୁରକ୍ଷା ଉଲ୍ଲଂଘନ ଆବିଷ୍କାର କର, ତୁମେ ତୁରନ୍ତ ଆମକୁ ଲିଖିତ ଭାବରେ ଜଣାଇବ | ଯଦି ଆମେ ଏକ ଅଭିଯୋଗ ଗ୍ରହଣ କରୁ ଯେ ଆପଣଙ୍କର ଆକାଉଣ୍ଟ୍ ଅନ୍ୟର ଅଧିକାରକୁ ଉଲ୍ଲଂଘନ କରେ, କିମ୍ବା ଆମର ନୀତି ଉଲ୍ଲଂଘନ କରେ ଆମେ ହୁଏତ ଆପଣଙ୍କର ଖାତାକୁ ବାତିଲ୍ କିମ୍ବା ଅବରୋଧ କରିପାରିବା |ଏକାଧିକ ଇଣ୍ଟରନେଟ୍ ପ୍ରୋଟୋକଲ୍ ଠିକଣା କିମ୍ବା ମୋବାଇଲ୍ ନଂ ବ୍ୟବହାର କରି କିମ୍ବା ଅନ୍ୟ କୌଣସି ଉପାୟରେ ସାଇଟରେ ଅଂଶଗ୍ରହଣକାରୀଙ୍କୁ ପଞ୍ଜିକରଣ କରି ଆପଣ ନିଜର ପରିଚୟ ଲୁଚାଇବାକୁ ଚେଷ୍ଟା କରିବେ ନାହିଁ |"
What is  MPIN?,ଏମ୍ପିଆଇଏନ୍ କଣ?
Rongmongwe & Samelangso Icds Project,ରୋଙ୍ଗମୋଙ୍ଗୱେ ଏବଂ ସାମେଲାଙ୍ଗସୋ ଆଇକ୍ସପ୍ରୋଜେକ୍ଟ
Pakabetbari Icds Project,ପାକାବେଟବାରୀ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Please Select Reported By,ଦୟାକରି ରିପୋର୍ଟ ହୋଇଥିବା ଚୟନ କରନ୍ତୁ
Kaliachak - III,କାଲିଆଚକ - III
Dakshin Bastar Dantewada,ଦକ୍ଷିଣ ବସ୍ତର ଦନ୍ତେୱାଡା
Cdpo Proj No-1,ସିଡିପୋ ପ୍ରୋଜ୍ ନଂ-1
Berhampur (U) - II,ବରହମପୁର (ୟୁ) - II
Enter Mobile Number,ମୋବାଇଲ୍ ନମ୍ବର୍ ପ୍ରବେଶ କରନ୍ତୁ
"Project-3, Palanganatham, Madurai","ପ୍ରୋଜେକ୍ଟ-3, ପାଲାଙ୍ଗାନାଥମ୍, ମଦୁରାଇ"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ 22 ଗୋଟି ବିଭିନ୍ନ ଭାଷାରେ ଉପଲବ୍ଧ ।ଉପଲବ୍ଧ ଥିବା ବିଭିନ୍ନ ଭାଷାଗୁଡିକ ହେଲେଃଇଂରାଜୀହିନ୍ଦୀଗୁଜୁରାତିପଞ୍ଜାବୀମରାଠୀବଙ୍ଗଳାକନ୍ନଡତାମିଲ୍ତେଲୁଗୁମାଲୟାଲମ୍ଓଡିଆଆସାମୀNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,ଏଡବ୍ଲୁସି ଟୀକାକରଣ ଧାରା
Jhalda - I,ଝାଲଦା - I
Reiek ICDS Project,ରିକ୍ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ପୋଶାନ୍ ଟ୍ରାକର୍ ପ୍ରୟୋଗର ଉଦ୍ଦେଶ୍ୟ ହେଉଛି ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର (AWC) ର କାର୍ଯ୍ୟକଳାପ, ଅଙ୍ଗନୱାଡି ୱାର୍କର୍ସ (AWW) ର ସେବା ବିତରଣ ଏବଂ ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା ଏବଂ ଶିଶୁମାନଙ୍କ ପାଇଁ ସମ୍ପୂର୍ଣ୍ଣ ହିତାଧିକାରୀ ପରିଚାଳନା ବିଷୟରେ 360-ଡିଗ୍ରୀ ଦୃଶ୍ୟ ପ୍ରଦାନ କରିବା | ପ୍ରସ୍ତାବିତ ସିଷ୍ଟମ ନିର୍ଦ୍ଦିଷ୍ଟ ସୂଚକାଙ୍କ ଉପରେ ସମସ୍ତ AWC, AWW ଏବଂ ହିତାଧିକାରୀଙ୍କ ରିଅଲ୍-ଟାଇମ୍ ମନିଟରିଂ ଏବଂ ଟ୍ରାକିଂକୁ ସକ୍ଷମ କରିବା ଉଚିତ୍ |"
Current Month Performance,ଚଳିତ ମାସ ପ୍ରଦର୍ଶନ
Rjn Gramin 02,ଆରଜନ ଗ୍ରାମୀଣ 02
How to Login in Poshan Tracker App?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ କିପରି ଭାବେ ଲଗ୍ଇନ୍ କରିପାରିବେ?
Height and weight of child has not been measured,ଶିଶୁର ଉଚ୍ଚତା ଏବଂ ଓଜନ ମାପ କରାଯାଇ ନାହିଁ
PM’s Program Districts,PM ର ଜିଲ୍ଲା ପ୍ରୋଗ୍ରାମ
Kaliachak - I,କାଲିଆଚକ - I
Jagatballav pur ICDS,ଜଗତବଲ୍ଲଭପୁର ଆଇସିଡିଏସ
CDPO Civil Washim,ସିଡିପିଓ ସିଭିଲ୍ ୱାସିମ୍
Terms of Service,ସେବାର ସର୍ତ୍ତାବଳୀ
2.5. Research and operational activities.,2.5. ଅନୁସନ୍ଧାନ ଏବଂ କାର୍ଯ୍ୟକ୍ଷମ କାର୍ଯ୍ୟକଳାପ |
Tufanganj I Addl,ତୁଫାନଗଞ୍ଜ I ଆଡିସନାଲ୍
CANNING II ADDITIONAL,କ୍ୟାନିଂ II ଆଡିସନାଲ୍
Jhalda - II,ଝାଲଦା - II
Gomariguri Icds Project,ଗୋମାରିଗୁରୀ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Best performing states (National Best),ଶ୍ରେଷ୍ଠ ପ୍ରଦର୍ଶନ ରାଜ୍ୟ (ଜାତୀୟ ଶ୍ରେଷ୍ଠ)
Siddharth Nagar City,ସିଦ୍ଧାର୍ଥ ନଗର ସହର
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO ଶିଶୁ ଅଭିବୃଦ୍ଧି ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ କାଲ୍କୁଲେଟର |
Sonarpur ICDS Project,ସୋନାରପୁର ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
"Td1, 2 or Td Booster***","Td1, 2 କିମ୍ବା Td ବଷ୍ଟର***"
North East Delhi,ଉତ୍ତର ପୂର୍ବ ଦିଲ୍ଲୀ
Sri Muktsar Sahib,ଶ୍ରୀ ମୁକ୍ତସର ସାହିବ
North West Jorhat,ଉତ୍ତର ପଶ୍ଚିମ ଜୋରହାଟ
Raninagar - II,ରାଣୀନଗର - II
TAKE HOME RATION (THR) GIVEN TODAY,ଆଜି ଦିଆଯାଇଥିବା ରାସନ୍ (THR) ଘରକୁ ନେଇଯାଆନ୍ତୁ
Beneficiaries Registered Today,ହିତାଧିକାରୀମାନେ ଆଜି ପଞ୍ଜିକୃତ
A beneficiary is eligible for THR for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ THR ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
Bhatpara II (U),ଭଟପାରା II (ୟୁ)
Cooch Behar II Addl,କୁଚ୍ ବିହାର II ଆଡିସନାଲ୍
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. ସର୍ତ୍ତାବଳୀରେ ଭବିଷ୍ୟତ ପରିବର୍ତ୍ତନ ବିଷୟରେ ବିଜ୍ଞପ୍ତିଃ
Planning And Organising Community Based Events At AWC,AWC ରେ ସମ୍ପ୍ରଦାୟ ଭିତ୍ତିକ ଘଟଣାଗୁଡିକର ଯୋଜନା ଏବଂ ଆୟୋଜନ
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. ବୌଦ୍ଧିକ ସମ୍ପତ୍ତି ଅଧିକାର
GOSABA ICDS MAIN,ଗୋସାବା ଆଇସିଡିଏସ୍ ମେନ୍
Growth monitoring charts,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଚାର୍ଟଗୁଡିକ
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,ଡାଙ୍କୋରା - ହସନଗଞ୍ଜ
Frequently Asked Questions,ପ୍ରାୟତଃ ପଚରାଯାଇଥିବା ପ୍ରଶ୍ନ
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ଯଦି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ମୋବାଇଲ୍ ନମ୍ବର ମାଧ୍ୟମରେ ପଞ୍ଜୀକରଣ କରିବାରେ ଅସମର୍ଥ ତେବେ ସେମାନେ ଆପରେ କିପରି ଭାବେ ସାଇନ୍ ଅପ୍ କରିପାରିବେ?
Salboni ICDS Project,ସାଲବୋନି ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
Raninagar - I,ରାଣୀନଗର - I
Sandeshkali - I Adl.,ସନ୍ଦେଶଖାଲି - I ଆଡିସନାଲ୍
Poshan Tracker adds new Reports feature,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ରିପୋର୍ଟ୍ ବୈଶିଷ୍ଟ୍ୟ ଯୋଡିଥାଏ
Magrahat - II ICDS,ମଗ୍ରାହାଟ - II ଆଇସିଡିଏସ
Lungsen Icds Project,ଲୁଙ୍ଗସେନ୍ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
General Awareness about preventing illness in Children,ପିଲାମାନଙ୍କଠାରେ ରୋଗ ରୋକିବା ବିଷୟରେ ସାଧାରଣ ସଚେତନତା
Demow Icds Project,ଡିମୋ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Ratua - I,ରାଟୁଆ - I
Purulia - II,ପୁରୁଲିଆ - II
Dhar - R,ଧର - ଆର
Beneficiaries status change notifications,ହିତାଧିକାରୀଙ୍କ ସ୍ଥିତି ପରିବର୍ତ୍ତନ ବିଜ୍ଞପ୍ତିଗୁଡିକ
K R Nagar,କେ ଆର ନଗର
2. HOW WE USE PERSONAL INFORMATION,2. ଆମେ କିପରି ବ୍ୟକ୍ତିଗତ ସୂଚନା ବ୍ୟବହାର କରୁ
Purnia East Rural,ପୁର୍ଣ୍ଣିଆ ପୂର୍ବ ଗ୍ରାମୀଣ
Ranaghat 2 Ex,ରାଣାଘାଟ 2 ଏକ୍ସ
Careers At Poshan Tracker,ପୋଷଣ ଟ୍ରାକରରେ କ୍ୟାରିଅର୍
Nichar At Bhabnagar,ଭବନଗରରେ ନିଖାର
Underweight Assessment Parameters,ଓଜନିଆ ପାରାମିଟରଗୁଡିକ ମୂଲ୍ୟାଙ୍କନ
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,ଦୟାକରି ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବର ଏବଂ ଏକ ଟିକେଟ୍ ନମ୍ବର ପ୍ରଦାନ କରନ୍ତୁ |
Kulti (U) ICDS Project,କୁଲ୍ଟି (ୟୁ) ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
Ludhiana 1 Rural,ଲୁଧିଆନା 1 ଗ୍ରାମୀଣ
Dinhata - II addl,ଦିନହତା - II ଆଡିସନାଲ୍
Please contact your respective Anganwadi worker.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 ବର୍ଷରୁ କମ୍ ପିଲାମାନେ ଯେଉଁମାନେ ସପ୍ଲିମେଣ୍ଟାରୀ ପୁଷ୍ଟିକର ଗ୍ରହଣ କରିଥିଲେ
Feeding During Illness,ଅସୁସ୍ଥତା ସମୟରେ ଖାଇବାକୁ ଦେବା
Ratlam Rural - 2,ରତଲାମ ଗ୍ରାମୀଣ - 2
Suti - I,ସୁତି - I
Memari - II,ମେମାରି - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1ପେଣ୍ଟାଭାଲାଣ୍ଟ-1ରୋଟାଭାଇରସ୍ ଟିକା (RVV) -1ନିଷ୍କ୍ରିୟ ପୋଲିଓ ଭ୍ୟାକ୍ସିନ୍ (fIPV) -1 ର ଭଗ୍ନାଂଶ ଡୋଜ୍ନିମୋୋକୋକାଲ୍ କନଜୁଗେଟ୍ ଭ୍ୟାକ୍ସିନ୍ (PCV) -1
Height should be between 38 to 150,ଉଚ୍ଚତା 38 ରୁ 150 ମଧ୍ୟରେ ହେବା ଉଚିତ୍
How to contact Poshan Tracker Team?,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଟିମ୍ ସହିତ କିପରି ଯୋଗାଯୋଗ କରିବେ?
Rongli Rural Project,ରୋଙ୍ଗଲି ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
Take Home Ration (THR) Given Today,ଆଜି ଦିଆଯାଇଥିବା ରାସନ୍ (THR) ଘରକୁ ନେଇଯାଆନ୍ତୁ
How many different forms are there in Poshan Tracker App?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ କେତେଗୋଟି ଫର୍ମ ରହିଥାଏ?
Ldh Urban 1,ଏଲଡିଏଚ୍ ଅର୍ବାନ୍ 1
There are 7 different types of forms for beneficiaries.,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 7ଟି ବିଭିନ୍ନ ପ୍ରକାରର ଫର୍ମ ରହିଛି ।
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ଏଥିରେ ଅନ୍ତର୍ଭୁକ୍ତ ଅଟନ୍ତିଃସ୍ତନପାନ କରାଉଥିବା ମାଗର୍ଭବତୀ ମହିଳା0-6 ମାସର ଶିଶୁ6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତର ଶିଶୁ3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତର ଶିଶୁକିଶୋରୀ ବାଳିକା (11 ବର୍ଷ -19 ବର୍ଷ)
Shibpur I C D S Project,ଶିବପୁର ଆଇ ସି ଡି ଏସ୍ ପ୍ରୋଜେକ୍ଟ
RAMPURHAT-II ICDS PROJECT,ରାମପୁରହାଟ-II ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","ନିକଟରେ ଏକରୁ ତିନି ମାସ ମଧ୍ୟରେ, କୌଣସି ଅଙ୍ଗନୱାଡି କର୍ମୀ ହିତାଧୀକାରୀଙ୍କ ଗୃହକୁ ପରିଦର୍ଶନ କରିନାହାଁନ୍ତି"
Please enter Weight greater than 0.49 and less than 40.01,ଦୟାକରି 0.49 ରୁ ଅଧିକ ଓଜନ 40.01 ରୁ କମ୍ ପ୍ରବେଶ କରନ୍ତୁ |
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.
Seraj At Janjehli,ସିରାଜ୍ ଆଟ୍ ଜାନହେଲି
Amta - II,ଅମ୍ତା - II
 V. ACCESS PERMISSIONS, V. ପ୍ରବେଶ ଅନୁମତି
Please select Anganwadi Center,ଦୟାକରି ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ଚୟନ କରନ୍ତୁ
Children between 0-6 months,0-6 ମାସ ମଧ୍ୟରେ ପିଲାମାନେ
Gautam Buddha Nagar,ଗୌତମ ବୁଦ୍ଧ ନଗର
Mangan Tribal Project,ମଙ୍ଗନ ଆଦିବାସୀ ପ୍ରକଳ୍ପ
New Amravati Urban,ନୂତନ ଅମ୍ରାବତୀ ଅର୍ବାନ୍
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ଏମ୍ପିଆଇଏନ୍ ହେଉଛି ଏକ 4 ଅଙ୍କ ବିଶିଷ୍ଟ ପାସକୋଡ୍ ଯାହା ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ ପଞ୍ଜୀକରଣ କରିବା ସମୟରେ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଛି ।
 VI. ACCESS RESTRICTIONS, VI. ପ୍ରବେଶ ପ୍ରତିବନ୍ଧକ
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development,ନୂତନ ଅଭିବୃଦ୍ଧି ବକ୍ରଗୁଡିକ ଏକକ ଆନ୍ତର୍ଜାତୀୟ ମାନକ ପ୍ରଦାନ କରିବ ବୋଲି ଆଶା କରାଯାଏ ଯାହା ଜନ୍ମରୁ ପାଞ୍ଚ ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ସମସ୍ତ ପିଲାଙ୍କ ପାଇଁ ଶାରୀରିକ ଅଭିବୃଦ୍ଧିର ସର୍ବୋତ୍ତମ ବର୍ଣ୍ଣନାକୁ ପ୍ରତିପାଦିତ କରେ ଏବଂ ସ୍ତନ୍ୟପାନ କରାଉଥିବା ଶିଶୁକୁ ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶର ଆଦର୍ଶ ଭାବରେ ପ୍ରତିଷ୍ଠିତ କରେ |
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","ସ୍ମାର୍ଟ ଫୋନ୍ ଏବଂ ଯାନ୍ତ୍ରିକ ସୁସଙ୍ଗତା ପରୀକ୍ଷଣର ବିଶେଷତା (02 ଫେବୃଆରୀ, 2021)"
