eng,ml
CANNING II ADDITIONAL,കാനിംഗ് II അഡീഷണൽ
Jhalda - II,ജാൽദ - II
Gomariguri Icds Project,ഗോമാരിഗുരി ഐസിഡിഎസ് പ്രോജക്ട്
Best performing states (National Best),മികച്ച പ്രകടനം നടത്തുന്ന സംസ്ഥാനങ്ങൾ (ദേശീയ മികച്ചത്)
Siddharth Nagar City,സിദ്ധാർത്ഥ് നഗർ സിറ്റി
Sonarpur ICDS Project,സോനാർപൂർ ഐസിഡിഎസ് പ്രോജക്ട്
"Td1, 2 or Td Booster***","Td1, 2 അല്ലെങ്കിൽ Td ബൂസ്റ്റർ***"
North East Delhi,വടക്ക് കിഴക്കൻ ഡൽഹി
Sri Muktsar Sahib,ശ്രീ മുക്തർ സാഹിബ്
North West Jorhat,നോർത്ത് വെസ്റ്റ് ജോർഹട്ട്
Raninagar - II,റാണിനഗർ - II
TAKE HOME RATION (THR) GIVEN TODAY,ഇന്ന് നൽകിയിരിക്കുന്ന ഹോം റേഷൻ (THR) എടുക്കുക
Beneficiaries Registered Today,ഇന്ന് രജിസ്റ്റർ ചെയ്ത ഗുണഭോക്താക്കൾ
A beneficiary is eligible for THR for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് THR-ന് അർഹതയുണ്ട്.
Bhatpara II (U),ഭട്പാര II (യു)
Cooch Behar II Addl,കൂച്ച് ബെഹാർ II എഡിഡിഎൽ
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. നിബന്ധനകളിലെ ഭാവി മാറ്റങ്ങളെക്കുറിച്ചുള്ള അറിയിപ്പ്ഃ
Planning And Organising Community Based Events At AWC,AWC-യിൽ കമ്മ്യൂണിറ്റി അടിസ്ഥാനമാക്കിയുള്ള ഇവന്റുകൾ ആസൂത്രണം ചെയ്യുകയും സംഘടിപ്പിക്കുകയും ചെയ്യുന്നു
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. ബൌദ്ധിക സ്വത്തവകാശങ്ങൾ
GOSABA ICDS MAIN,ഗോസബ ഐസിഡിഎസ് മെയിൻ
Growth monitoring charts,വളർച്ചാ നിരീക്ഷണ ചാർട്ടുകൾ
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,ദൻഖോര - ഹസൻഗഞ്ച്
Frequently Asked Questions,പതിവായി ചോദിക്കുന്ന ചോദ്യങ്ങൾ
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,മൊബൈൽ നമ്പറുകൾ വഴി രജിസ്റ്റർ ചെയ്യാൻ കഴിയുന്നില്ലെങ്കിൽ എഒപ്പംഒപ്പംS അപ്ലിക്കേഷനിൽ എങ്ങനെ സൈൻ അപ്പ് ചെയ്യാൻ കഴിയും?
Salboni ICDS Project,സാൽബോണി ഐസിഡിഎസ് പ്രോജക്ട്
Raninagar - I,റാണിനഗർ - I
Sandeshkali - I Adl.,സന്ദേശകാളി - I എഡിഎൽ.
Poshan Tracker adds new Reports feature,പോഷൺപുതിയ റിപ്പോർട്ട് ഫീച്ചറുകൾ ചേർക്കുന്നു
Magrahat - II ICDS,മഗ്രഹത് - II ഐ. സി. ഡി. എസ്
Lungsen Icds Project,ലങ്സെൻ ഐസിഡിഎസ് പ്രോജക്ട്
General Awareness about preventing illness in Children,കുട്ടികളിലെ രോഗങ്ങളെ പ്രതിരോധിക്കുന്നതിനുള്ള പൊതു അവബോധം
Demow Icds Project,ഡീമോ ഐസിഡിഎസ് പ്രോജക്ട്
Ratua - I,റതുവ - I
Purulia - II,പുരുലിയ - II
Dhar - R,ധർ - ആർ
Beneficiaries status change notifications,ഗുണഭോക്താവിൻറെ മാറ്റത്തെകുറിച്ചുള്ള അറിയിപ്പുകൾ
K R Nagar,കെ ആർ നഗർ
2. HOW WE USE PERSONAL INFORMATION,2. ഞങ്ങൾ എങ്ങനെയാണ് വ്യക്തിഗത വിവരങ്ങൾ ഉപയോഗിക്കുന്നത്
Purnia East Rural,പൂർണിയ ഈസ്റ്റ് റൂറൽ
Ranaghat 2 Ex,രണഘട്ട് 2 എക്സി
Careers At Poshan Tracker,പോഷൺട്രാക്കറിലെ കരിയർ
Nichar At Bhabnagar,ഭാബ്നഗറിലെ നിച്ചാർ
Underweight Assessment Parameters,അണ്ടർവെയ്റ്റ് അസസ്മെന്റ് പാരാമീറ്ററുകൾ
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,നിങ്ങളുടെ മൊബൈൽ നമ്പറും ടിക്കറ്റ് നമ്പറും നൽകുക.
Kulti (U) ICDS Project,കുൽറ്റി (യു) ഐസിഡിഎസ് പ്രോജക്ട്
Ludhiana 1 Rural,ലുധിയാന 1 റൂറൽ
Dinhata - II addl,ദിൻഹത - II എഡിഡിഎൽ
Please contact your respective Anganwadi worker.,ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.
SAM Children under 5 years who received Supplementary Nutrition,SAM സപ്ലിമെന്ററി പോഷകാഹാരം ലഭിച്ച 5 വയസ്സിന് താഴെയുള്ള കുട്ടികൾ
Feeding During Illness,അസുഖ സമയത്ത് ഭക്ഷണം
Ratlam Rural - 2,രത്ലം റൂറൽ - 2
Suti - I,സുതി - I
Memari - II,മെമാരി - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ഒപിവി-1പെന്റാവാലന്റ്-1റോട്ടവൈറസ് വാക്സിൻ (RVV)-1നിഷ്ക്രിയ പോളിയോ വാക്സിൻ (എഫ്ഐപിവി) -1 ഫ്രാക്ഷണൽ ഡോസ്ന്യൂമോകോക്കൽ കൺജഗേറ്റ് വാക്സിൻ (PCV) -1
Height should be between 38 to 150,ഉയരം 38 നും 150 നും ഇടയിൽ ആയിരിക്കണം
How to contact Poshan Tracker Team?,പോഷൻ ട്രാക്കർ ടീമിനെ എങ്ങനെ ബന്ധപ്പെടാം?
Rongli Rural Project,റോംഗ്ലി ഗ്രാമീണ പ്രോജക്ട്
Take Home Ration (THR) Given Today,ഇന്ന് നൽകിയിരിക്കുന്ന ഹോം റേഷൻ (THR) എടുക്കുക
How many different forms are there in Poshan Tracker App?,പോഷൻ ട്രാക്കർ ആപ്പിൽ എത്ര വ്യത്യസ്ത ഫോമുകൾ ഉണ്ട്?
Ldh Urban 1,എൽഡിഎച്ച് അർബൻ 1
There are 7 different types of forms for beneficiaries.,ഗുണഭോക്താക്കൾക്കായി 7 വ്യത്യസ്ത തരം ഫോമുകൾ ഉണ്ട്.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ഇതിൽ ഇവ ഉൾപ്പെടുന്നുഃമുലയൂട്ടുന്ന അമ്മഗർഭിണികൾകുട്ടി 0-6 മാസംകുട്ടി 6 മാസം മുതൽ 3 വയസ്സ് വരെകുട്ടി 3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെക o മാരക്കാരായ പെൺകുട്ടികൾ (11 വയസ്സ് -19 വയസ്സ്)
Shibpur I C D S Project,ഷിബ്പൂർ I സി ഡി എസ് പ്രോജക്ട്
RAMPURHAT-II ICDS PROJECT,രാംപുരത്ത്-II ഐസിഡിഎസ് പ്രോജക്ട്
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",കഴിഞ്ഞ 1-3 മാസങ്ങളിൽ ഉപഭോക്താവിൻറെ വീടുകളിൽ അംഗൻവാടി പ്രവർത്തകർ സന്ദർശനം നടത്തിയിട്ടില്ല
Please enter Weight greater than 0.49 and less than 40.01,0.49-ൽ കൂടുതലും 40.01-ൽ താഴെയും ഭാരം നൽകുക
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.
Seraj At Janjehli,സെറാജ് അറ്റ് ജൻജെഹ്ലി
Amta - II,അംത - II
 V. ACCESS PERMISSIONS, V. ആക്സസ് പെർമിഷനുകൾ
Please select Anganwadi Center,ദയവായി അങ്കൻവാടി കേന്ദ്രം തിരഞ്ഞെടുക്കുക
Children between 0-6 months,0-6 മാസങ്ങൾക്കിടയിൽ കുട്ടികൾ
Gautam Buddha Nagar,ഗൌതംബുദ്ധനഗർ
Mangan Tribal Project,മാംഗൻ ആദിവാസി പ്രോജക്ട്
New Amravati Urban,പുതിയ അമരാവതി നഗരം
Calculator to measure the child growth based on the WHO Child Growth Standards,WHO ചൈൽഡ് ഗ്രോത്ത് സ്റ്റാൻഡേർഡ്സ് അടിസ്ഥാനമാക്കി കുട്ടികളുടെ വളർച്ച അളക്കുന്നതിനുള്ള കാൽക്കുലേറ്റർ
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,പോഷൻ ട്രാക്കർ എപിപിയിൽ രജിസ്റ്റർ ചെയ്യുമ്പോൾ ഒരു അംഗൻവാടി പ്രവർത്തകൻ സജ്ജമാക്കിയ 4 അക്ക പാസ്കോഡാണ് എംപിൻ.
 VI. ACCESS RESTRICTIONS, VI. പ്രവേശന നിയന്ത്രണങ്ങൾ
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development,ജനനം മുതൽ അഞ്ച് വയസ്സുവരെയുള്ള എല്ലാ കുട്ടികൾക്കും ശാരീരിക വളർച്ചയുടെ ഏറ്റവും മികച്ച വിവരണവും വളർച്ചയ്ക്കും വികാസത്തിനുമുള്ള മാതൃകാ മാതൃകയായി മുലയൂട്ടുന്ന ശിശുവിനെ പ്രതിനിധീകരിക്കുന്ന ഒരൊറ്റ അന്താരാഷ്ട്ര നിലവാരം പുതിയ വളർച്ചാ വളവുകൾ നൽകുമെന്ന് പ്രതീക്ഷിക്കുന്നു
