eng,as
PM’s Program Districts,PM-ৰ প্ৰ'গ্ৰাম জিলা সমূহ
Kaliachak - I,কালিযাচক - I
Jagatballav pur ICDS,জগতবল্লভ পুৰ আইচিডিএছ
CDPO Civil Washim,চিডিপিঅ' চিভিল ৱাছিম
Terms of Service,সেৱাৰ চৰ্তাৱলী
2.5. Research and operational activities.,2.5. গৱেষণা আৰু কাৰ্যকৰী ক্ৰিযা-কলাপ।
Tufanganj I Addl,তুফানগঞ্জ আই এডল
CANNING II ADDITIONAL,কেনিং II অতিৰিক্ত
Jhalda - II,ঝালদা - II
Gomariguri Icds Project,গোমাৰিগুৰি আইচিডিএছ প্ৰকল্প
Best performing states (National Best),শ্ৰেষ্ঠ প্ৰদৰ্শনকাৰী ৰাজ্য (ৰাষ্ট্ৰীয শ্ৰেষ্ঠ)
Siddharth Nagar City,সিদ্ধাৰ্থ নগৰ চহৰ
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO শিশুৰ বিকাশৰ মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ কেলকুলেটৰ
Sonarpur ICDS Project,সোণাৰপুৰ আইচিডিএছ প্ৰকল্প
"Td1, 2 or Td Booster***","Td1, 2 বা Td বুষ্টাৰ***"
North East Delhi,উত্তৰ পূৱ দিল্লী
Sri Muktsar Sahib,শ্ৰী মুখ্টাৰ ছাহিব
North West Jorhat,উত্তৰ পশ্চিম জ্যোতি
Raninagar - II,ৰাণীনগৰ - II
TAKE HOME RATION (THR) GIVEN TODAY,টেক হোম ৰেচন (টিএইচআৰ) আজি দিযা হয
Beneficiaries Registered Today,হিতাধিকাৰীসকলে আজি পঞ্জীযন কৰা হৈছে
A beneficiary is eligible for THR for at least 21 days in a month.,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে THR-ৰ বাবে যোগ্যতা অৰ্জন কৰে।।
Bhatpara II (U),ভাটপাৰা II (ইউ)
Cooch Behar II Addl,কুচবিহাৰ II এডল
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. চৰ্তাৱলী সমূহৰ ভৱিষ্যত সাল-সলনিৰ সন্দৰ্ভত জাননীঃ
Planning And Organising Community Based Events At AWC,AWC ত কমিউনিটি ভিত্তিক অনুষ্ঠান সমূহ পৰিকল্পনা কৰা আৰু অনুষ্ঠিত কৰা
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. বৌদ্ধিক সম্পত্তিৰ অধিকাৰ
GOSABA ICDS MAIN,গোচাবা আইচিডিএছ মেইন
Growth monitoring charts,বিকাশ নিৰীক্ষণ চাৰ্ট
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,ডানখোৰা - হাছানগঞ্জ
Frequently Asked Questions,সঘনাই সোধা প্ৰশ্ন সমূহ
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWW সকলে তেওঁলোকৰ ম'বাইল নম্বৰসমূহৰ জৰিযতে যদি পঞ্জীযন কৰিবলৈ অক্ষম তেতিযা কেনেকৈ ছাইন আপ কৰিব পাৰিব?
Salboni ICDS Project,চালবনি আইচিডিএছ প্ৰকল্প
Raninagar - I,ৰাণীনগৰ - I
Sandeshkali - I Adl.,সন্দেশকলি - I এডল।
Poshan Tracker adds new Reports feature,পোশান ট্ৰেকাৰে নতুন প্ৰতিবেদন সুবিধা যোগ কৰিছে
Magrahat - II ICDS,মগ্ৰাহাত - II আইচিডিএছ
Lungsen Icds Project,লুংচেন আইচডিপ্ৰকল্প
General Awareness about preventing illness in Children,শিশুসকলৰ মাজত হোৱা ৰোগক বাধা দিযাৰ বিষযে সাধাৰণ সজাগতা
Demow Icds Project,ডেমো আইচডিএছ প্ৰকল্প
Ratua - I,ৰতুৱা - I
Purulia - II,পুৰুলিযা - II
Dhar - R,ধৰ - আৰ
Beneficiaries status change notifications,বেনিফিচাৰীৰ স্থিতি পৰিৱৰ্তনৰ জাননী
K R Nagar,কে আৰ নগৰ
2. HOW WE USE PERSONAL INFORMATION,2. আমি কেনেদৰেব্যক্তিগত তথ্য ব্যৱহাৰ কৰো
Purnia East Rural,পূৰ্ণিযা পূব গ্ৰাম্য
Ranaghat 2 Ex,ৰাণাঘাট 2 প্ৰাক্তন
Careers At Poshan Tracker,পোশান ট্ৰেকাৰত কেৰিযাৰ
Nichar At Bhabnagar,ভাবনগৰত নিছাৰ
Underweight Assessment Parameters,কম ওজন মূল্যাযনৰ পেৰামিটাৰ
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,অনুগ্ৰহ কৰি আপোনাৰ মোবাইল নম্বৰ আৰু এটা টিকট নম্বৰ প্ৰদান কৰক।
Kulti (U) ICDS Project,কুল্টি (ইউ) আইচিডিএছ প্ৰকল্প
Ludhiana 1 Rural,লুধিযানা 1 গ্ৰাম্য
Dinhata - II addl,দিনহাটা - II এডল
Please contact your respective Anganwadi worker.,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাডী কৰ্মীক যোগাযোগ কৰক।।
SAM Children under 5 years who received Supplementary Nutrition,পৰিপূৰক পুষ্টি প্ৰাপ্ত কৰা 5 বছৰ বযসৰ তলৰ SAM শিশু
Feeding During Illness,বেমাৰৰ সমযত খাদ্য প্ৰদান
Ratlam Rural - 2,ৰটলাম গ্ৰাম্য - 2
Suti - I,চুতি - I
Memari - II,মেমাৰী - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1পেন্টাভেলেন্ট-1ৰোটাভাইৰাছ ভেকচিন (RVV)-1ফ্ৰেকচনেল ডজ অৱ ইনএক্টিভেটেড পোলিঅ' ভেকচিন (fIPV)-1নিউম'ককেল কনজুগেট ভেকচিন (PCV) -1
Height should be between 38 to 150,উচ্চতা 38 ৰ পৰা 150 ৰ ভিতৰত হ'ব লাগে
How to contact Poshan Tracker Team?,পোষণ ট্ৰেকাৰ টীমক কেনেদৰে যোগাযোগ কৰিব?
Rongli Rural Project,ৰংলি গ্ৰাম্য প্ৰকল্প
Take Home Ration (THR) Given Today,টেক হোম ৰেচন (টিএইচআৰ) আজি দিযা হয
How many different forms are there in Poshan Tracker App?,পোষাণ ট্ৰেকাৰ এপত কিমানটা ভিন্ন ৰূপ আছে?
Ldh Urban 1,এলডিএইচ আৰ্বান 1
There are 7 different types of forms for beneficiaries.This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),হিতাধিকাৰীসকলৰ বাবে ৭ প্ৰকাৰৰ বিভিন্ন প্ৰপত্ৰ আছে সেইবোৰ হৈছেঃস্তন্যপান কৰাই থকা মাতৃগর্ভবতী মহিলাশিশু ০-৬ মাহশিশু ৬ মাহৰ পৰা ৩ বছৰ পর্যন্তশিশু ৩ বছৰ পৰা ৬ বছৰলৈকিশোৰী ছোৱালী (১১ বছৰ-১৯ বছৰ)
Shibpur I C D S Project,শিবপুৰ আই চি ডি এছ প্ৰকল্প
RAMPURHAT-II ICDS PROJECT,ৰামপুৰহাট-II আইচিডিএছ প্ৰকল্প
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","শেহতীযা এক মাহৰ পৰা তিনি মাহৰ ভিতৰত, কোনো অংগনৱাডী কৰ্মীযে বেনিফিচাৰীৰ ঘৰলৈ যোৱা নাই"
